blockNumber,horizon,min_flag,reference_blockNumber,horizon_label,closest_blockNumber,volume_500,volume_3000,cum_volume_500,cum_volume_3000,cum_volume_base,s0,w0,blsame_1,slsame_1,wlsame_1,slsame_2,wlsame_2,slsame_3,wlsame_3,vol_0_3,avg-USD-isame_01,avg-USD-isame_12,avg-USD-isame_23,blother_1,slother_1,wlother_1,slother_2,wlother_2,slother_3,wlother_3,avg-USD-iother_01,avg-USD-iother_12,avg-USD-iother_23,binance-midprice-01,binance-midprice-12,binance-midprice-23,pool,rate-count-isame_03,rate-count-iother_03,binance-btc-03
14544278,10.0,0,14544093,20,14544278.0,7587.706063027453,0.0,1706554.7417464582,11738567.012964226,13445121.754710684,23088873.93119628,60.0,366.0,14333.726087136933,2040.0,11454.565174018127,2040.0,424016.1247131328,2160.0,0.0116342507066093,2384489.141436901,14333.726087136933,248383.53357961003,636.0,237608.72107321667,970.0,81.01903825211456,1130.0,405787.4164189183,1000.0,125674.2933927302,131433.09842719647,193711.2671680528,0.0753166874196816,0.0750354479859594,0.0747671753076261,3000,18.0,80.0,64.87503895984477
14544611,10.0,0,14544421,20,14544611.0,4392.304941711587,0.0,2630694.6498614694,704649.5286386298,3335344.178500099,21969.495225550927,1740.0,619.0,23088873.93119628,60.0,14333.726087136933,2040.0,11454.565174018127,2040.0,0.004854130572948,201071.0080213339,2384489.141436901,14333.726087136933,696.0,1221329.096089099,90.0,237608.72107321667,970.0,81.01903825211456,1130.0,80369.10682757544,138316.7634587966,131433.09842719647,0.0753969909559935,0.0753166874196816,0.0750354479859594,3000,70.0,103.0,76.18576367098237
14544990,10.0,0,14544800,20,14544990.0,175950.1161805226,0.0,4036971.752887352,278022.03311119106,4314993.785998543,41278287.00275252,60.0,707.0,21969.495225550927,1740.0,23088873.93119628,60.0,14333.726087136933,2040.0,0.0050006248304927,10482808.64681144,201071.0080213339,2384489.141436901,1075.0,1221329.096089099,90.0,237608.72107321667,970.0,81.01903825211456,1130.0,127047.6779960866,138316.7634587966,131433.09842719647,0.0752787877155022,0.0753969909559935,0.0753166874196816,3000,73.0,129.0,37.6835625586925
14545270,10.0,0,14545080,20,,0.0,0.0,5085385.99471813,1690012.3287083793,6775398.323426509,96454.05156588204,300.0,659.0,41278287.00275252,60.0,21969.495225550927,1740.0,23088873.93119628,60.0,0.0048165174211312,96454.05156588204,10482808.64681144,201071.0080213339,842.0,65070.43021367877,1400.0,1221329.096089099,90.0,237608.72107321667,970.0,94219.7944701896,122976.54869757812,138316.7634587966,0.0753214118535867,0.0752787877155022,0.0753969909559935,3000,63.0,137.0,35.598355162724495
14545921,10.0,0,14545731,20,14545921.0,341015.38284449826,114071.16444465528,4305162.442664367,528677.3243973509,4833839.767061718,10321.382827939296,4800.0,931.0,96454.05156588204,300.0,41278287.00275252,60.0,21969.495225550927,1740.0,0.0077581188954526,347599.603769333,96454.05156588204,10482808.64681144,1493.0,65070.43021367877,1400.0,1221329.096089099,90.0,237608.72107321667,970.0,123426.3127528122,122976.54869757812,138316.7634587966,0.0753119612324245,0.0753214118535867,0.0752787877155022,3000,15.0,213.0,159.2883735779766
14549267,10.0,0,14549077,20,14549267.0,47002.65425383353,0.0,1435216.2206744978,0.0,1435216.2206744978,3128.577744897144,600.0,3346.0,2903.289839962968,3240.0,10321.382827939296,4800.0,96454.05156588204,300.0,0.0033345714060493,149496.1699589129,250925.4352082246,347599.603769333,744.0,27395.445589210824,1240.0,288876.35828177026,370.0,1088429.9048681175,90.0,121682.37360712686,164478.00927968085,120210.84099996054,0.0755981755268696,0.0758115715930617,0.0753119612324245,3000,88.0,162.0,182.439482499985
14550740,10.0,0,14550550,20,14550740.0,177356.3898342148,0.0,227253.26504596727,4985.658577143912,232238.9236231112,4722.015677876322,24000.0,1614.0,3128.577744897144,600.0,2903.289839962968,3240.0,10321.382827939296,4800.0,0.0031451987571436,127837.34842195253,149496.1699589129,250925.4352082246,603.0,1535.3110448152995,1780.0,123979.17815779636,1200.0,27395.445589210824,1240.0,97630.974425005,26402.259343863287,91462.19057953951,0.0754461445723697,0.0755981755268696,0.0758115715930617,3000,86.0,82.0,50.648640480737384
14551109,10.0,0,14550921,20,14551109.0,380.825096060527,0.0,715980.629378583,1725.2810426937806,717705.9104212768,42212.81325447228,9420.0,1844.0,4722.015677876322,24000.0,3128.577744897144,600.0,2903.289839962968,3240.0,0.0095061823969334,31765.67394397679,127837.34842195253,149496.1699589129,904.0,40490972.69974778,10.0,1535.3110448152995,1780.0,123979.17815779636,1200.0,78335.18684068102,1154154.2570894167,26402.259343863287,0.0755470729345631,0.0754461445723697,0.0755981755268696,3000,19.0,47.0,15.44104461354549
14551539,10.0,0,14551349,20,,0.0,0.0,834013.9874585955,14845.124503648993,848859.1119622445,4946.339721344699,2760.0,428.0,405.7385905811804,3660.0,42212.81325447228,9420.0,4722.015677876322,24000.0,0.0344938011022919,4946.339721344699,710.3398777583202,31765.67394397679,544.0,15538.473659545776,970.0,40490972.69974778,10.0,1535.3110448152995,1780.0,29398.463867025624,99919.16254330608,1154154.2570894167,0.0757268281807339,0.0756023333309287,0.0755470729345631,3000,8.0,56.0,27.14271584494778
14551993,1.0,0,14551812,20,14551993.0,58020.20441082725,0.0,503540.9234939903,66118.24494963688,569659.1684436272,28367.39971635512,3120.0,488.0,4946.339721344699,2760.0,405.7385905811804,3660.0,42212.81325447228,9420.0,0.0087746050803663,175578.7481111672,4946.339721344699,710.3398777583202,793.0,79.28821287287236,780.0,15538.473659545776,970.0,40490972.69974778,10.0,41923.49980556247,75564.10920462472,99919.16254330608,0.0759153804564742,0.0757268281807339,0.0756023333309287,3000,14.0,43.0,27.1739496493778
