,binance-count-01,binance-btc-01,binance-midprice-01,binance-count-12,binance-btc-12,binance-midprice-12,binance-count-23,binance-btc-23,binance-midprice-23
3371712869,4489,13.487458937612617,0.07597183320661006,2604.0,6.485992118537206,0.07590799388913663,188.0,0.5424391853734084,0.07561996304824561
185643361,4031,13.209018429629007,0.07599352058515026,4489.0,13.487458937612617,0.07597183320661006,2604.0,6.485992118537206,0.07590799388913663
3351745331,1452,5.350919194929043,0.07589444045785353,4031.0,13.209018429629007,0.07599352058515026,4489.0,13.487458937612617,0.07597183320661006
2838854461,3959,7.999645900514721,0.076075462908853,1452.0,5.350919194929043,0.07589444045785353,4031.0,13.209018429629007,0.07599352058515026
323299101,1154,3.569037904970463,0.07608707886452187,3959.0,7.999645900514721,0.076075462908853,1452.0,5.350919194929043,0.07589444045785353
3808418142,883,2.2678604275611147,0.07605119419843138,1154.0,3.569037904970463,0.07608707886452187,3959.0,7.999645900514721,0.076075462908853
3986974669,220,0.4459308909725284,0.07607952737373737,883.0,2.2678604275611147,0.07605119419843138,1154.0,3.569037904970463,0.07608707886452187
679957794,110,0.248339703022989,0.07608819488147682,220.0,0.4459308909725284,0.07607952737373737,883.0,2.2678604275611147,0.07605119419843138
3367306257,1155,2.974425984778762,0.07611320775264285,110.0,0.248339703022989,0.07608819488147682,220.0,0.4459308909725284,0.07607952737373737
171604633,135,0.3612765256463794,0.07610990832364019,1155.0,2.974425984778762,0.07611320775264285,110.0,0.248339703022989,0.07608819488147682
3089695124,19465,44.49092565569464,0.07619026251033519,135.0,0.3612765256463794,0.07610990832364019,1155.0,2.974425984778762,0.07611320775264285
891300275,3771,6.7662721246427555,0.0762754723890502,19465.0,44.49092565569464,0.07619026251033519,135.0,0.3612765256463794,0.07610990832364019
3398809091,368,0.7992034821480963,0.07612593272982804,3771.0,6.7662721246427555,0.0762754723890502,19465.0,44.49092565569464,0.07619026251033519
3786991040,1776,3.801411135876418,0.07608302179771177,368.0,0.7992034821480963,0.07612593272982804,3771.0,6.7662721246427555,0.0762754723890502
2455160097,3195,7.909799692252353,0.07601501134796829,1776.0,3.801411135876418,0.07608302179771177,368.0,0.7992034821480963,0.07612593272982804
